Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/acq_data_fifo_m_axis_tvalid,i_system_wrapper/system_i/acq_l1_data_slice_Dout[15:0],i_system_wrapper/system_i/acq_l5_data_slice_Dout[15:0],i_system_wrapper/system_i/trk_data_fifo_m_axis_tdata[31:0],i_system_wrapper/system_i/trk_data_fifo_m_axis_tvalid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX
773,773,0,0,ff0b,ffff,000200e7,0
774,774,0,0,ff0b,ffff,000200e7,0
775,775,0,0,ff0b,ffff,000200e7,0
776,776,0,0,ff0b,ffff,0202fee8,1
777,777,0,0,ff0b,ffff,0202fee8,0
778,778,0,0,ff0b,ffff,0202fee8,0
779,779,0,0,ff0b,ffff,0202fee8,0
780,780,0,0,ff0b,ffff,0201fce9,1
781,781,0,0,ff0b,ffff,0201fce9,0
782,782,0,0,ff0b,ffff,0201fce9,0
783,783,0,0,ff0b,ffff,0201fce9,0
784,784,0,0,ff0b,ffff,0201fce9,0
785,785,0,0,ff0b,ffff,feffffe7,1
786,786,0,0,ff0b,ffff,feffffe7,0
787,787,0,0,ff0b,ffff,feffffe7,0
788,788,0,0,ff0b,ffff,feffffe7,0
789,789,0,0,ff0b,ffff,03fffce7,1
790,790,0,0,ff0b,ffff,03fffce7,0
791,791,0,0,ff0b,ffff,03fffce7,0
792,792,0,0,ff0b,ffff,03fffce7,0
793,793,0,0,ff0b,ffff,03fffce7,0
794,794,0,0,ff0b,ffff,000000e7,1
795,795,0,0,ff0b,ffff,000000e7,0
796,796,0,0,ff0b,ffff,000000e7,0
797,797,0,0,ff0b,ffff,000000e7,0
798,798,0,0,ff0b,ffff,000000e7,0
799,799,0,0,ff0b,ffff,00feffe9,1
800,800,0,0,ff0b,ffff,00feffe9,0
801,801,0,0,ff0b,ffff,00feffe9,0
802,802,0,0,ff0b,ffff,00feffe9,0
803,803,0,0,ff0b,ffff,ff0100e8,1
804,804,0,0,ff0b,ffff,ff0100e8,0
805,805,0,0,ff0b,ffff,ff0100e8,0
806,806,0,0,ff0b,ffff,ff0100e8,0
807,807,0,0,ff0b,ffff,ff0100e8,0
808,808,0,0,ff0b,ffff,fc02fee3,1
809,809,0,0,ff0b,ffff,fc02fee3,0
810,810,0,0,ff0b,ffff,fc02fee3,0
811,811,0,0,ff0b,ffff,fc02fee3,0
812,812,0,0,ff0b,ffff,ff020301,1
813,813,0,0,ff0b,ffff,ff020301,0
814,814,0,0,ff0b,ffff,ff020301,0
815,815,0,0,ff0b,ffff,ff020301,0
816,816,0,0,ff0b,ffff,ff020301,0
817,817,0,0,ff0b,ffff,00fefe1d,1
818,818,0,0,ff0b,ffff,00fefe1d,0
819,819,0,0,ff0b,ffff,00fefe1d,0
820,820,0,0,ff0b,ffff,00fefe1d,0
821,821,0,0,ff0b,ffff,00fefe1d,0
822,822,0,0,ff0b,ffff,fffffe1a,1
823,823,0,0,ff0b,ffff,fffffe1a,0
824,824,0,0,ff0b,ffff,fffffe1a,0
825,825,0,0,ff0b,ffff,fffffe1a,0
826,826,0,0,ff0b,ffff,04fdfd17,1
827,827,0,0,ff0b,ffff,04fdfd17,0
828,828,0,0,ff0b,ffff,04fdfd17,0
829,829,0,0,ff0b,ffff,04fdfd17,0
830,830,0,0,ff0b,ffff,04fdfd17,0
831,831,0,0,ff0b,ffff,feff001b,1
832,832,0,0,ff0b,ffff,feff001b,0
833,833,0,0,ff0b,ffff,feff001b,0
834,834,0,0,ff0b,ffff,feff001b,0
835,835,0,0,ff0b,ffff,00fdfe17,1
836,836,0,0,ff0b,ffff,00fdfe17,0
837,837,0,0,ff0b,ffff,00fdfe17,0
838,838,0,0,ff0b,ffff,00fdfe17,0
839,839,0,0,ff0b,ffff,00fdfe17,0
840,840,0,0,ff0b,ffff,00fdfe14,1
841,841,0,0,ff0b,ffff,00fdfe14,0
842,842,0,0,ff0b,ffff,00fdfe14,0
843,843,0,0,ff0b,ffff,00fdfe14,0
844,844,0,1,ff0b,ff00,fdfdfe17,1
845,845,0,0,ff0b,ff00,fdfdfe17,0
846,846,0,0,ff0b,ff00,fdfdfe17,0
847,847,0,0,ff0b,ff00,fdfdfe17,0
848,848,0,0,ff0b,ff00,fdfdfe17,0
849,849,0,0,ff0b,ff00,0101fe18,1
850,850,0,0,ff0b,ff00,0101fe18,0
851,851,0,0,ff0b,ff00,0101fe18,0
852,852,0,0,ff0b,ff00,0101fe18,0
853,853,0,0,ff0b,ff00,0101fe18,0
854,854,0,0,ff0b,ff00,0001fb17,1
855,855,0,0,ff0b,ff00,0001fb17,0
856,856,0,0,ff0b,ff00,0001fb17,0
857,857,0,0,ff0b,ff00,0001fb17,0
858,858,0,0,ff0b,ff00,fd010017,1
859,859,0,0,ff0b,ff00,fd010017,0
860,860,0,0,ff0b,ff00,fd010017,0
861,861,0,0,ff0b,ff00,fd010017,0
862,862,0,0,ff0b,ff00,fd010017,0
863,863,0,0,ff0b,ff00,ff000016,1
864,864,0,0,ff0b,ff00,ff000016,0
865,865,0,0,ff0b,ff00,ff000016,0
866,866,0,0,ff0b,ff00,ff000016,0
867,867,0,0,ff0b,ff00,0000fc17,1
868,868,0,0,ff0b,ff00,0000fc17,0
869,869,0,0,ff0b,ff00,0000fc17,0
870,870,0,0,ff0b,ff00,0000fc17,0
871,871,0,0,ff0b,ff00,0000fc17,0
872,872,0,0,ff0b,ff00,02ff0318,1
873,873,0,0,ff0b,ff00,02ff0318,0
874,874,0,0,ff0b,ff00,02ff0318,0
875,875,0,0,ff0b,ff00,02ff0318,0
876,876,0,0,ff0b,ff00,fdff0019,1
877,877,0,0,ff0b,ff00,fdff0019,0
878,878,0,0,ff0b,ff00,fdff0019,0
879,879,0,0,ff0b,ff00,fdff0019,0
880,880,0,0,ff0b,ff00,fdff0019,0
881,881,0,0,ff0b,ff00,fdfefe16,1
882,882,0,0,ff0b,ff00,fdfefe16,0
883,883,0,0,ff0b,ff00,fdfefe16,0
884,884,0,0,ff0b,ff00,fdfefe16,0
885,885,0,0,ff0b,ff00,fdfefe16,0
886,886,0,0,ff0b,ff00,fe000116,1
887,887,0,0,ff0b,ff00,fe000116,0
888,888,0,0,ff0b,ff00,fe000116,0
889,889,0,0,ff0b,ff00,fe000116,0
890,890,0,0,ff0b,ff00,00fefe16,1
891,891,0,0,ff0b,ff00,00fefe16,0
892,892,0,0,ff0b,ff00,00fefe16,0
893,893,0,0,ff0b,ff00,00fefe16,0
894,894,0,0,ff0b,ff00,00fefe16,0
895,895,0,0,ff0b,ff00,fe000117,1
896,896,0,0,ff0b,ff00,fe000117,0
897,897,0,0,ff0b,ff00,fe000117,0
898,898,0,0,ff0b,ff00,fe000117,0
899,899,0,0,ff0b,ff00,fffefe17,1
900,900,0,0,ff0b,ff00,fffefe17,0
901,901,0,0,ff0b,ff00,fffefe17,0
902,902,0,0,ff0b,ff00,fffefe17,0
903,903,0,0,ff0b,ff00,fffefe17,0
904,904,0,0,ff0b,ff00,fffd0318,1
905,905,0,0,ff0b,ff00,fffd0318,0
906,906,0,0,ff0b,ff00,fffd0318,0
